transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,source_dataset,instance_year,instance_month,instance_day
2-13-2013-3824,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2013-06-13,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا دايموند 6 (A),MARINA DIAMOND 6 (A),1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مرسى دبي,Dubai Marina,مارينا مول,Marina Mall,غرفة,1 B/R,1,65.78,560000,8513.23,1259412.0,8456.15,1.0,1.0,0.0,transactions,2013.0,6.0,13.0
1-11-2025-25483,11,1,مبايعات,Sales,بيع,Sell,2025-06-18,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,414,البرشاء جنوب الثانية,Al Barshaa South Second,بيلا روز,BELLA ROSE,2099.0,بيلا روز,BELLA ROSE,Dubai Science Park,حديقة دبي للعلوم,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,106.31,1500000,14109.68,1259412.0,8456.15,1.0,2.0,0.0,transactions,2025.0,6.0,18.0
1-41-2010-5765,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,351,الثنيه الثالثة,Al Thanyah Third,جولف تاورز - T3,GOLF TOWERS T3,1046.0,Unknown,Unknown,The Greens,الروضة,برج العرب,Burj Al Arab,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,غرفة,1 B/R,1,80.18,635888,7930.76,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
1-11-2013-38688,11,1,مبايعات,Sales,بيع,Sell,2013-12-16,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,بحر 6,Bahar 6,1046.0,Unknown,Unknown,Jumeriah Beach Residence  - JBR,جميرا بيتش ريزيدنس  - الجيه بي آر ,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,غرفة,1 B/R,1,70.72,1825000,25806.0,1259412.0,8456.15,1.0,1.0,0.0,transactions,2013.0,12.0,16.0
1-11-2025-24786,11,1,مبايعات,Sales,بيع,Sell,2025-06-13,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,435,الحبيه الرابعة,Al Hebiah Fourth,برمودا فيوز,BERMUDA VIEWS,616.0, برمودا فيوز,BERMUDA VIEWS,Dubai Sports City,مدينة دبي الرياضية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,استوديو,Studio,1,49.4,400000,8097.17,1259412.0,8456.15,1.0,1.0,0.0,transactions,2025.0,6.0,13.0
1-11-2010-7505,11,1,مبايعات,Sales,بيع,Sell,2010-05-17,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,343,ورسان الاولى,Al Warsan First,اكس - 15,X-15,1046.0,Unknown,Unknown,International City Phase 1,المدينة العالمية - المرحلة الاولى,Unknown,Unknown,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,غرفة,1 B/R,0,68.0,347000,5102.94,1259412.0,8456.15,1.0,1.0,0.0,transactions,2010.0,5.0,17.0
1-11-2003-1572,11,1,مبايعات,Sales,بيع,Sell,2003-10-21,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,358,الطوار الاولى,Al Twar First,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو النهضة,Al Nahda Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,929.03,900000,968.75,1259412.0,8456.15,1.0,1.0,0.0,transactions,2003.0,10.0,21.0
1-102-2015-8978,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,435,الحبيه الرابعة,Al Hebiah Fourth,أواسيس تاور وان,OASIS TOWER ONE,501.0,واحة تاور ون,OASIS TOWER ONE,Dubai Sports City,مدينة دبي الرياضية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,غرفة,1 B/R,1,82.78,799093,9653.21,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-102-2016-8508,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,390,برج خليفة,Burj Khalifa,فورته T2,Forte T2,1660.0,فورتي,FORTE,DownTown Dubai,داون تاون دبي,برج خليفة,Burj Khalifa,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,110.59,2774888,25091.67,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
2-13-2013-286,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2013-01-17,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,351,الثنيه الثالثة,Al Thanyah Third,جى ار ترافو ايه,G R TRAVO A,1046.0,Unknown,Unknown,The Greens,الروضة,برج العرب,Burj Al Arab,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,230.59,1760000,7632.59,1259412.0,8456.15,1.0,1.0,0.0,transactions,2013.0,1.0,17.0
1-11-2007-3733,11,1,مبايعات,Sales,بيع,Sell,,2,مبنى,Building,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,239,البراحه,Al Baraha,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو صلاح الدين,Salah Al Din Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,243.96,12000000,49188.39,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2011-14627,11,1,مبايعات,Sales,بيع,Sell,2011-11-15,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,شيمارا دبليو 2,SHEMARA W2,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مساكن شاطئ جميرا,Jumeirah Beach Residency,مارينا مول,Marina Mall,غرفتين,2 B/R,1,130.99,1521888,11618.35,1259412.0,8456.15,1.0,1.0,0.0,transactions,2011.0,11.0,15.0
1-11-2015-8226,11,1,مبايعات,Sales,بيع,Sell,2015-05-21,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا فيو تاور ايه,MARINA VIEW TOWER A,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,محطة مترو مارينا مول,Marina Mall Metro Station,مارينا مول,Marina Mall,استوديو,Studio,1,38.89,420000,10799.69,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,5.0,21.0
1-102-2013-1060,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,2013-02-14,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,390,برج خليفة,Burj Khalifa,برج كلارين 1,CLAREN TOWER 1,1275.0,كلارين 1,CLAREN 1,DownTown Dubai,داون تاون دبي,وسط مدينة دبي,Downtown Dubai,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,استوديو,Studio,1,48.4,750000,15495.87,1259412.0,8456.15,1.0,1.0,0.0,transactions,2013.0,2.0,14.0
1-102-2019-9335,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,2019-06-20,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,330,مرسى دبي,Marsa Dubai,جميرا ليفنغ بوابة المارينا,Jumeirah Living Marina Gate,1743.0,بوابة مارينا الحية في جميرا,JUMEIRAH LIVING MARINA GATE ,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,ابراج مارينا,Marina Towers,مارينا مول,Marina Mall,غرفة,1 B/R,1,90.73,2220000,24468.2,1259412.0,8456.15,1.0,1.0,0.0,transactions,2019.0,6.0,20.0
1-11-2008-202142,11,1,مبايعات,Sales,بيع,Sell,2008-04-23,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,بحر 1,Bahar 1,1046.0,Unknown,Unknown,Jumeriah Beach Residence  - JBR,جميرا بيتش ريزيدنس  - الجيه بي آر ,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,غرفتين,2 B/R,1,120.81,1455000,12043.7,1259412.0,8456.15,1.0,1.0,0.0,transactions,2008.0,4.0,23.0
2-13-2006-1175,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,298,الورقاء الثالثه,Al Warqa Third,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,1079.25,750000,694.93,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2013-15926,11,1,مبايعات,Sales,بيع,Sell,2013-05-22,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,برج الكونكورد 1,CONCORDE TOWER 1,883.0, كونكورد تاور,CONCORDE TOWER,Jumeirah Lakes Towers, ابراج بحيرات الجميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفة,1 B/R,1,62.75,800000,12749.0,1259412.0,8456.15,1.0,1.0,0.0,transactions,2013.0,5.0,22.0
2-13-2017-690,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2017-01-26,3,وحدة,Unit,23.0,محل,Shop,تجاري,Commercial,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا فيو تاور ايه,MARINA VIEW TOWER A,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,محطة مترو مارينا مول,Marina Mall Metro Station,مارينا مول,Marina Mall,محل,Shop,1,113.0,1360000,12035.4,1259412.0,8456.15,1.0,1.0,0.0,transactions,2017.0,1.0,26.0
1-102-2010-2780,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,2010-10-18,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,351,الثنيه الثالثة,Al Thanyah Third,تنارو,TNARO,1459.0,تانارو,TANARO,The Greens,الروضة,برج العرب,Burj Al Arab,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,غرفة,1 B/R,1,70.79,680000,9605.88,1259412.0,8456.15,1.0,1.0,0.0,transactions,2010.0,10.0,18.0
1-102-2024-107973,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,2024-12-24,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,409,البرشاء جنوب الثالثة,Al Barshaa South Third,سمانا بارك فيوز,Samana Park Views,2280.0,سمانا بارك فيوز ,SAMANA PARK VIEWS,Arjan,أرجان,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفة,1 B/R,1,73.96,874040,11817.74,1259412.0,8456.15,1.0,1.0,0.0,transactions,2024.0,12.0,24.0
1-11-2018-7767,11,1,مبايعات,Sales,بيع,Sell,2018-07-30,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,الصدف 5,Sadaf 5,1046.0,Unknown,Unknown,Jumeriah Beach Residence  - JBR,جميرا بيتش ريزيدنس  - الجيه بي آر ,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,غرفتين,2 B/R,1,134.48,1600000,11897.68,1259412.0,8456.15,1.0,1.0,0.0,transactions,2018.0,7.0,30.0
1-102-2021-6041,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,2021-04-29,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,409,البرشاء جنوب الثالثة,Al Barshaa South Third,جويا بلانكا ريزيدنسيز,Joya Blanca Residences,2219.0,جويا بلانكا ريزيدنسيز ,Joya Blanca Residences ,Arjan,أرجان,موتور سيتي,Motor City,محطة مترو شرف دي جي,Sharaf Dg Metro Station,مول الإمارات,Mall of the Emirates,غرفة,1 B/R,1,68.19,583458,8556.36,1259412.0,8456.15,1.0,1.0,0.0,transactions,2021.0,4.0,29.0
1-11-2009-205807,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,الصدف 8,Sadaf 8,1046.0,Unknown,Unknown,Jumeriah Beach Residence  - JBR,جميرا بيتش ريزيدنس  - الجيه بي آر ,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,177.23,2140000,12074.71,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
2-13-2017-3924,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,برج مارينا دايموند - A,MARINA DIAMOND - A,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مرسى دبي,Dubai Marina,مارينا مول,Marina Mall,غرفة,1 B/R,1,66.8,863000,12919.16,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2014-12905,11,1,مبايعات,Sales,بيع,Sell,2014-05-14,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,435,الحبيه الرابعة,Al Hebiah Fourth,ذا سبريت,The Spirit,140.0,سبريت,THE SPIRIT,Dubai Sports City,مدينة دبي الرياضية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,استوديو,Studio,1,46.05,1045000,22692.73,1259412.0,8456.15,1.0,2.0,0.0,transactions,2014.0,5.0,14.0
1-11-2007-2385,11,1,مبايعات,Sales,بيع,Sell,2007-08-28,2,مبنى,Building,60.0,Unknown,Unknown,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,486.25,7700000,15835.48,1259412.0,8456.15,1.0,1.0,0.0,transactions,2007.0,8.0,28.0
1-11-2014-27855,11,1,مبايعات,Sales,بيع,Sell,2014-12-24,3,وحدة,Unit,42.0,مكتب,Office,تجاري,Commercial,1,العقارات القائمة,Existing Properties,341,المركز التجارى الاولى,Trade Center First,برج لطيفه,LATIFA TOWER,614.0,لطيفة تاور,LATIFA TOWER,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو أبراج الإمارات,Emirates Towers Metro Station,مول دبي,Dubai Mall,مكتب,Office,1,163.44,2814800,17222.22,1259412.0,8456.15,1.0,1.0,0.0,transactions,2014.0,12.0,24.0
1-11-2022-12993,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,اميرتس كراون تاور,EMIRATES CROWN TOWER,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مينا السياحي,Mina Seyahi,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,360.53,4450000,12342.94,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
1-11-2008-209228,11,1,مبايعات,Sales,بيع,Sell,2008-11-17,3,وحدة,Unit,23.0,محل,Shop,تجاري,Commercial,1,العقارات القائمة,Existing Properties,343,ورسان الاولى,Al Warsan First,اكس - 07,X-07,1046.0,Unknown,Unknown,International City Phase 1,المدينة العالمية - المرحلة الاولى,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,52.0,555800,10688.46,1259412.0,8456.15,1.0,2.0,0.0,transactions,2008.0,11.0,17.0
2-13-1999-1843,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,1999-10-18,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,317,جميرا الاولى,Jumeirah First,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,634.16,1125000,1774.0,1259412.0,8456.15,1.0,1.0,0.0,transactions,1999.0,10.0,18.0
3-9-2015-390,9,3,هبات,Gifts,هبه,Grant,2015-04-30,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,410,نخلة جميرا,Palm Jumeirah,تنزانايت,TANZANITE,1040.0, تيارا ريزيدنس,TIARA RESIDENCE,Palm Jumeirah,نخلة جميرا,برج العرب,Burj Al Arab,قرية المعرفة,Knowledge Village,مارينا مول,Marina Mall,غرفتين,2 B/R,1,77.9,1928493,24756.01,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,4.0,30.0
1-11-2023-5779,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,101.0,شقة فندقية,Hotel Apartment,ضيافة,Hospitality ,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,Jumeirah Gate Tower 2,Jumeirah Gate Tower 2,1790.0,جميرا غيت,Jumeirah Gate,Jumeriah Beach Residence  - JBR,جميرا بيتش ريزيدنس  - الجيه بي آر ,برج العرب,Burj Al Arab,مساكن شاطئ جميرا,Jumeirah Beach Residency,مارينا مول,Marina Mall,غرفتين,2 B/R,1,136.86,8100000,59184.57,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
1-11-2013-11517,11,1,مبايعات,Sales,بيع,Sell,2013-05-13,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,ليك سايد,Lakeside,16.0,ليك سايد ريزيدنس ,LAKESIDE RESIDENCE,Jumeirah Lakes Towers, ابراج بحيرات الجميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفة,1 B/R,1,78.98,858061,10864.28,1259412.0,8456.15,1.0,1.0,0.0,transactions,2013.0,5.0,13.0
2-13-2005-711,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2005-07-18,2,مبنى,Building,60.0,Unknown,Unknown,زراعي,Agricultural,1,العقارات القائمة,Existing Properties,401,وادي العمردي,Wadi Al Amardi,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,15779.85,697388,44.19,1259412.0,8456.15,1.0,1.0,0.0,transactions,2005.0,7.0,18.0
1-11-2025-27163,11,1,مبايعات,Sales,بيع,Sell,2025-06-30,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,ليك تيراس,LAKE TERRACE,438.0,ليك تراس,LAKE TERRACE,Jumeirah Lakes Towers, ابراج بحيرات الجميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,استوديو,Studio,1,46.07,835000,18124.59,1259412.0,8456.15,1.0,1.0,0.0,transactions,2025.0,6.0,30.0
1-11-2024-32971,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,435,الحبيه الرابعة,Al Hebiah Fourth,اولمبيك بارك 1,OLYMPIC PARK 1,1142.0,أوليمبك بارك 1,OLYMPIC PARK 1,Dubai Sports City,مدينة دبي الرياضية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,غرفتين,2 B/R,1,149.93,960000,6402.99,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
3-9-2003-300117,9,3,هبات,Gifts,هبه,Grant,2003-10-13,2,مبنى,Building,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,316,المزهر الاولى,Al Mizhar First,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو اتصالات,Etisalat Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,1864.0,1003196,538.2,1259412.0,8456.15,1.0,7.0,0.0,transactions,2003.0,10.0,13.0
2-13-2023-11863,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2023-07-14,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,يخت باي,YACHT BAY,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفتين,2 B/R,1,128.39,1275000,9930.68,1259412.0,8456.15,1.0,1.0,0.0,transactions,2023.0,7.0,14.0
1-102-2007-13173,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,,3,وحدة,Unit,42.0,مكتب,Office,تجاري,Commercial,0,على الخارطة,Off-Plan Properties,330,مرسى دبي,Marsa Dubai,مارينا بلازا,Marina Plaza,1312.0,دي أم مارينا بلازا,DM MARINA PLAZA,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,محطة مترو مارينا مول,Marina Mall Metro Station,مارينا مول,Marina Mall,مكتب,Office,1,430.98,10980904,25478.92,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
2-13-2025-35705,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,Unknown,Unknown,1051.0,روعة الإمارات ? الينابيع 12,Emirates Living - Springs 12,Springs - 2,الينابيع - 2,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,غرفتين,2 B/R,0,173.97,2700000,15519.92,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2015-6262,11,1,مبايعات,Sales,بيع,Sell,2015-04-15,3,وحدة,Unit,42.0,مكتب,Office,تجاري,Commercial,1,العقارات القائمة,Existing Properties,390,برج خليفة,Burj Khalifa,بوليفارد بلازا تي 1,BLVD PLAZA T1,1311.0,بي دي بوليفارد بلازا,BD BOULEVARD PLAZA,DownTown Dubai,داون تاون دبي,برج خليفة,Burj Khalifa,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,مكتب,Office,1,313.41,6748000,21530.9,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,4.0,15.0
1-11-2025-6963,11,1,مبايعات,Sales,بيع,Sell,2025-02-19,1,أرض,Land,60.0,Unknown,Unknown,متعدد الاستخدامات,Multi-Use,1,العقارات القائمة,Existing Properties,334,الجداف,Al Jadaf,Unknown,Unknown,1046.0,Unknown,Unknown,Sama Al Jadaf,سما الجداف,وسط مدينة دبي,Downtown Dubai,محطة مترو الجداف,Al Jadaf Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,6113.2,52,0.01,1259412.0,8456.15,1.0,1.0,0.0,transactions,2025.0,2.0,19.0
1-11-2008-208459,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا دايموند 4,MARINA DIAMOND 4,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مرسى دبي,Dubai Marina,مارينا مول,Marina Mall,غرفة,1 B/R,1,62.64,1090000,17401.02,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2023-27640,11,1,مبايعات,Sales,بيع,Sell,2023-08-31,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا اركيد,MARINA ARCADE,948.0,مارينا أركيد,MARINA ARCADE,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مينا السياحي,Mina Seyahi,مارينا مول,Marina Mall,غرفتين,2 B/R,1,148.52,2202100,14826.96,1259412.0,8456.15,1.0,2.0,0.0,transactions,2023.0,8.0,31.0
